"long","lat"
"-77.105274","38.84608"
"-77.141012","38.912687"
"-77.104903","38.853959"
"-77.091257","38.895668"
"-77.063188","38.853069"
"-77.099643","38.844564"
"-77.109438","38.88248"
"-77.123203","38.857119"
"-77.114444","38.860804"
"-77.097604","38.869283"
"-77.103348","38.883441"
"-77.103348","38.883441"
"-77.10131","38.875906"
"-77.100073","38.884766"
"-77.137373","38.885823"
"-77.112851","38.859053"
"-77.142729","38.902538"
"-77.112656","38.881125"
"-77.081695","38.857497"
"-77.117699","38.856736"
"-77.084321","38.847085"
"-77.108732","38.871228"
"-77.090474","38.891059"
"-77.160555","38.891457"
"-77.085319","38.859493"
"-77.12984","38.893283"
"-77.120631","38.874744"
"-77.086237","38.876086"
"-77.099206","38.898202"
"-77.142623","38.884819"
"-77.142623","38.884819"
"-77.078973","38.8903"
"-77.095223","38.896662"
"-77.108632","38.875933"
"-77.103885","38.884077"
"-77.098466","38.852551"
"-77.104513","38.863644"
"-77.107012","38.895328"
"-77.110637","38.845579"
"-77.11652","38.854448"
"-77.052173","38.842643"
"-77.071807","38.8529"
"-77.070096","38.891842"
"-77.075983","38.86628"
"-77.064197","38.850634"
"-77.073787","38.846268"
"-77.144069","38.902203"
"-77.066023","38.864035"
"-77.066778","38.864723"
"-77.066362","38.863103"
"-77.116432","38.898221"
"-77.085927","38.845391"
"-77.11421","38.88041"
"-77.08257","38.87086"
"-77.10072","38.837458"
"-77.100251","38.839219"
"-77.125024","38.917848"
"-77.066778","38.864723"
"-77.094297","38.84458"
"-77.10709","38.899949"
"-77.084019","38.865927"
"-77.119064","38.877267"
"-77.102847","38.90865"
"-77.159009","38.898022"
"-77.105637","38.881276"
"-77.127118","38.912205"
"-77.146712","38.89091"
"-77.119109","38.856988"
"-77.091086","38.892563"
"-77.108632","38.875933"
"-77.111","38.868358"
"-77.083467","38.861585"
"-77.083467","38.861585"
"-77.089537","38.893991"
"-77.145752","38.89902"
"-77.087987","38.82863"
"-77.108632","38.875933"
"-77.106138","38.854897"
"-77.095045","38.84678"
"-77.077112","38.899671"
"-77.08048","38.898191"
"-77.109438","38.88248"
"-77.08797","38.853417"
"-77.087004","38.852074"
"-77.099888","38.862313"
"-77.096627","38.847565"
"-77.114817","38.892696"
"-77.101041","38.864847"
"-77.101041","38.864847"
"-77.101041","38.864847"
"-77.101041","38.864847"
"-77.101041","38.864847"
"-77.106483","38.857284"
"-77.106483","38.857284"
"-77.093977","38.851331"
"-77.145266","38.89017"
"-77.09128","38.863864"
"-77.070096","38.891842"
"-77.115134","38.884837"
"-77.133835","38.881145"
"-77.129952","38.895563"
"-77.120508","38.853463"
"-77.118296","38.880136"
"-77.106138","38.854897"
"-77.116783","38.91163"
"-77.122766","38.85838"
"-77.096002","38.899114"
"-77.06858","38.891032"
"-77.119229","38.856462"
"-77.075169","38.864242"
"-77.088166","38.829098"
"-77.106614","38.880211"
"-77.107751","38.881023"
"-77.107751","38.881023"
"-77.086302","38.88819"
"-77.09267","38.831266"
"-77.143403","38.901101"
"-77.117782","38.856646"
"-77.083354","38.861715"
"-77.128558","38.926598"
"-77.115183","38.911541"
"-77.080804","38.893898"
"-77.088333","38.888405"
"-77.100516","38.876217"
"-77.114124","38.886207"
"-77.09819","38.841359"
"-77.076707","38.89962"
"-77.085432","38.859639"
"-77.096016","38.850504"
"-77.106483","38.857284"
"-77.073587","38.893006"
"-77.125568","38.865309"
"-77.116019","38.865807"
"-77.098675","38.840114"
"-77.085907","38.844136"
"-77.096795","38.848264"
"-77.110383","38.889603"
"-77.088589","38.880948"
"-77.072933","38.862308"
"-77.064037","38.846164"
"-77.088371","38.886936"
"-77.070096","38.891842"
"-77.299545","37.291174"
"-77.073587","38.893006"
"-77.110218","38.893369"
"-77.096451","38.845015"
"-77.090857","38.886479"
"-77.106134","38.881242"
"-77.110401","38.881036"
"-77.1436","38.875386"
"-77.116597","38.892607"
"-77.071343","38.867349"
"-77.072987","38.8623"
"-77.085884","38.84517"
"-77.07228","38.888212"
"-77.106744","38.871094"
"-77.144719","38.888067"
"-77.073459","38.897818"
"-77.078324","38.890943"
"-77.054157","38.862927"
"-77.137553","38.910709"
"-77.130333","38.894163"
"-77.081887","38.863741"
"-77.089466","38.892311"
"-77.138255","38.901037"
"-77.134831","38.901745"
"-77.093283","38.894791"
"-77.128902","38.886579"
"-77.095223","38.896662"
"-77.075182","38.864308"
"-77.063761","38.854846"
"-77.056867","38.859594"
"-77.113659","38.854065"
"-77.108458","38.873764"
"-77.081521","38.887482"
"-77.124849","38.895585"
"-77.116432","38.898221"
"-77.116432","38.898221"
"-77.116432","38.898221"
"-77.093199","38.879247"
"-77.093486","38.879465"
"-77.114428","38.914334"
"-77.076078","38.896136"
"-77.090709","38.884944"
"-77.113752","38.882921"
"-77.065228","38.845256"
"-77.068372","38.89096"
"-77.129626","38.872403"
"-77.104928","38.882752"
"-77.104928","38.882752"
"-77.06594","38.864878"
"-77.06831","38.851611"
"-77.091201","38.834699"
"-77.091201","38.834699"
"-77.099564","38.879746"
"-77.089106","38.896772"
"-77.125404","38.911575"
"-77.0865","38.895869"
"-77.112809","38.858945"
"-77.09168","38.843481"
"-77.097364","38.869222"
"-77.103273","38.888368"
"-77.119166","38.856471"
"-77.122932","38.8867"
"-77.083728","38.857539"
"-77.09262","38.876821"
"-77.110878","38.884377"
"-77.141846","38.882868"
"-77.116041","38.859494"
"-77.073459","38.897818"
"-77.102958","38.882626"
"-77.081521","38.887482"
"-77.136575","38.869564"
"-77.136575","38.869564"
"-77.130707","38.875114"
"-77.080488","38.869764"
"-77.073459","38.897818"
"-77.11421","38.88041"
"-77.11421","38.88041"
"-77.072301","38.88829"
"-77.146832","38.885996"
"-77.076588","38.847633"
"-77.065342","38.858318"
"-77.077331","38.892141"
"-77.086389","38.895488"
"-77.126631","38.885796"
"-77.100197","38.88314"
"-77.097872","38.86439"
"-77.096485","38.844983"
"-77.153755","38.89832"
"-77.11236","38.915115"
"-77.119644","38.923791"
"-77.111034","38.903916"
"-77.115496","38.883738"
"-77.100428","38.841722"
"-77.119972","38.874864"
"-77.091093","38.864012"
"-77.066778","38.864723"
"-77.08391","38.898192"
"-77.114862","38.882176"
"-77.144414","38.888839"
"-77.109695","38.896933"
"-77.06699","38.860911"
"-77.109096","38.89339"
"-77.151708","38.880721"
"-77.113322","38.862684"
"-77.049144","38.86154"
"-77.097835","38.869609"
"-77.161397","38.88542"
"-77.09168","38.843481"
"-77.128112","38.888019"
"-77.139506","38.893861"
"-77.081887","38.863741"
"-77.083354","38.861715"
"-77.091893","38.845932"
"-77.145742","38.896107"
"-77.140547","38.892517"
"-77.134781","38.888952"
"-77.089044","38.832127"
"-77.131876","38.885365"
"-77.090741","38.852554"
"-77.097378","38.885677"
"-77.102958","38.882626"
"-77.09385","38.886862"
"-77.102739","38.902065"
"-77.114624","38.895623"
"-77.106134","38.881242"
"-77.096034","38.837233"
"-77.082575","38.870143"
"-77.072987","38.8623"
"-77.160815","38.898809"
"-77.10776","38.882557"
"-77.086302","38.88819"
"-77.090573","38.888069"
"-77.105637","38.881276"
"-77.08668","38.854376"
"-77.096233","38.845045"
"-77.118662","38.899076"
"-77.129008","38.862941"
"-77.121766","38.8954"
"-77.109141","38.900057"
"-77.049164","38.857661"
"-77.119216","38.858427"
"-77.107751","38.881023"
"-77.100836","38.888503"
"-77.087237","38.833745"
"-77.093848","38.886837"
"-77.112656","38.881125"
"-77.112656","38.881125"
"-77.09168","38.843481"
"-77.162396","38.886264"
"-77.15017","38.889461"
"-77.154415","38.890642"
"-77.061909","38.855488"
"-77.143186","38.888041"
"-77.109438","38.88248"
"-77.120265","38.853509"
"-77.125482","38.877171"
"-77.079619","38.888709"
"-77.097378","38.885677"
"-77.100073","38.884766"
"-77.105902","38.871957"
"-77.094297","38.84458"
"-77.079609","38.888622"
"-77.077596","38.890679"
"-77.097378","38.885677"
"-77.142708","38.875261"
"-77.155365","38.894989"
"-77.158428","38.895076"
"-77.146506","38.898904"
"-77.113752","38.882921"
"-77.072301","38.88829"
"-77.072301","38.88829"
"-77.123094","38.876639"
"-77.085604","38.845376"
"-77.072301","38.88829"
"-77.09788","38.845266"
"-77.125483","38.888792"
"-77.138532","38.905059"
"-77.066778","38.864723"
"-77.115878","38.857713"
"-77.093294","38.847989"
"-77.084651","38.850037"
"-77.145095","38.891353"
"-77.134076","38.882873"
"-77.104699","38.860023"
"-77.118503","38.892551"
"-77.073459","38.897818"
"-77.095895","38.837134"
"-77.095895","38.837134"
"-77.072301","38.88829"
"-77.117723","38.868426"
"-77.117723","38.868426"
"-77.117365","38.87197"
"-77.08072","38.89421"
"-77.08393","38.894158"
"-77.146542","38.899796"
"-77.146542","38.899796"
"-77.146522","38.899804"
